Date,AAPL
2023-09-19,179.0700
2023-09-18,177.9700
2023-09-15,175.0100
2023-09-14,175.7400
2023-09-13,174.2100
2023-09-12,176.3000
2023-09-11,179.3600
2023-09-08,178.1800
2023-09-07,177.5600
2023-09-06,182.9100
2023-09-05,189.7000
2023-09-01,189.4600
2023-08-31,187.8700
2023-08-30,187.6500
2023-08-29,184.1200
2023-08-28,180.1900
2023-08-25,178.6100
2023-08-24,176.3800
2023-08-23,181.1200
2023-08-22,177.2300
2023-08-21,175.8400
2023-08-18,174.4900
2023-08-17,174.0000
2023-08-16,176.5700
2023-08-15,177.4500
2023-08-14,179.4600
2023-08-11,177.7900
2023-08-10,177.9700
2023-08-09,178.1900
2023-08-08,179.8000
2023-08-07,178.8500
2023-08-04,181.9900
2023-08-03,191.1700
2023-08-02,192.5800
2023-08-01,195.6050
2023-07-31,196.4500
2023-07-28,195.8300
2023-07-27,193.2200
2023-07-26,194.5000
2023-07-25,193.6200
2023-07-24,192.7500
2023-07-21,191.9400
2023-07-20,193.1300
2023-07-19,195.1000
2023-07-18,193.7300
2023-07-17,193.9900
2023-07-14,190.6900
2023-07-13,190.5400
2023-07-12,189.7700
2023-07-11,188.0800
2023-07-10,188.6100
2023-07-07,190.6800
2023-07-06,191.8100
2023-07-05,191.3300
2023-07-03,192.4600
2023-06-30,193.9700
2023-06-29,189.5900
2023-06-28,189.2500
2023-06-27,188.0600
2023-06-26,185.2700
2023-06-23,186.6800
2023-06-22,187.0000
2023-06-21,183.9600
2023-06-20,185.0100
2023-06-16,184.9200
2023-06-15,186.0100
2023-06-14,183.9500
2023-06-13,183.3100
2023-06-12,183.7900
2023-06-09,180.9600
2023-06-08,180.5700
2023-06-07,177.8200
2023-06-06,179.2100
2023-06-05,179.5800
2023-06-02,180.9500
2023-06-01,180.0900
2023-05-31,177.2500
2023-05-30,177.3000
2023-05-26,175.4300
2023-05-25,172.9900
2023-05-24,171.8400
2023-05-23,171.5600
2023-05-22,174.2000
2023-05-19,175.1600
2023-05-18,175.0500
2023-05-17,172.6900
2023-05-16,172.0700
2023-05-15,172.0700
2023-05-12,172.5700
2023-05-11,173.7500
2023-05-10,173.5550
2023-05-09,171.7700
2023-05-08,173.5000
2023-05-05,173.5700
2023-05-04,165.7900
2023-05-03,167.4500
2023-05-02,168.5400
2023-05-01,169.5900
2023-04-28,169.6800
2023-04-27,168.4100
2023-04-26,163.7600
2023-04-25,163.7700
2023-04-24,165.3300
2023-04-21,165.0200
2023-04-20,166.6500
2023-04-19,167.6300
2023-04-18,166.4700
2023-04-17,165.2300
2023-04-14,165.2100
2023-04-13,165.5600
2023-04-12,160.1000
2023-04-11,160.8000
2023-04-10,162.0300
2023-04-06,164.6600
2023-04-05,163.7600
2023-04-04,165.6300
2023-04-03,166.1700
2023-03-31,164.9000
2023-03-30,162.3600
2023-03-29,160.7700
2023-03-28,157.6500
2023-03-27,158.2800
2023-03-24,160.2500
2023-03-23,158.9300
2023-03-22,157.8300
2023-03-21,159.2800
2023-03-20,157.4000
2023-03-17,155.0000
2023-03-16,155.8500
2023-03-15,152.9900
2023-03-14,152.5900
2023-03-13,150.4700
2023-03-10,148.5000
2023-03-09,150.5900
2023-03-08,152.8700
2023-03-07,151.6000
2023-03-06,153.8300
2023-03-03,151.0300
2023-03-02,145.9100
2023-03-01,145.3100
2023-02-28,147.4100
2023-02-27,147.9200
2023-02-24,146.7100
2023-02-23,149.4000
2023-02-22,148.9100
2023-02-21,148.4800
2023-02-17,152.5500
2023-02-16,153.7100
2023-02-15,155.3300
2023-02-14,153.2000
2023-02-13,153.8500
2023-02-10,151.0100
2023-02-09,150.8700
2023-02-08,151.9200
2023-02-07,154.6500
2023-02-06,151.7300
2023-02-03,154.5000
2023-02-02,150.8200
2023-02-01,145.4300
2023-01-31,144.2900
2023-01-30,143.0000
2023-01-27,145.9300
2023-01-26,143.9600
2023-01-25,141.8600
2023-01-24,142.5300
2023-01-23,141.1100
2023-01-20,137.8700
2023-01-19,135.2700
2023-01-18,135.2100
2023-01-17,135.9400
2023-01-13,134.7600
2023-01-12,133.4100
2023-01-11,133.4900
2023-01-10,130.7300
2023-01-09,130.1500
2023-01-06,129.6200
2023-01-05,125.0200
2023-01-04,126.3600
2023-01-03,125.0700
2022-12-30,129.9300
2022-12-29,129.6100
2022-12-28,126.0400
2022-12-27,130.0300
2022-12-23,131.8600
2022-12-22,132.2300
2022-12-21,135.4500
2022-12-20,132.3000
2022-12-19,132.3700
2022-12-16,134.5100
2022-12-15,136.5000
2022-12-14,143.2100
2022-12-13,145.4700
2022-12-12,144.4900
2022-12-09,142.1600
2022-12-08,142.6500
2022-12-07,140.9400
2022-12-06,142.9100
2022-12-05,146.6300
2022-12-02,147.8100
2022-12-01,148.3100
2022-11-30,148.0300
2022-11-29,141.1700
2022-11-28,144.2200
2022-11-25,148.1100
2022-11-23,151.0700
2022-11-22,150.1800
2022-11-21,148.0100
2022-11-18,151.2900
2022-11-17,150.7200
2022-11-16,148.7900
2022-11-15,150.0400
2022-11-14,148.2800
2022-11-11,149.7000
2022-11-10,146.8700
2022-11-09,134.8700
2022-11-08,139.5000
2022-11-07,138.9200
2022-11-04,138.3800
2022-11-03,138.8800
2022-11-02,145.0300
2022-11-01,150.6500
2022-10-31,153.3400
2022-10-28,155.7400
2022-10-27,144.8000
2022-10-26,149.3500
2022-10-25,152.3400
2022-10-24,149.4500
2022-10-21,147.2700
2022-10-20,143.3900
2022-10-19,143.8600
2022-10-18,143.7500
2022-10-17,142.4100
2022-10-14,138.3800
2022-10-13,142.9900
2022-10-12,138.3400
2022-10-11,138.9800
2022-10-10,140.4200
2022-10-07,140.0900
2022-10-06,145.4300
2022-10-05,146.4000
2022-10-04,146.1000
2022-10-03,142.4500
2022-09-30,138.2000
2022-09-29,142.4800
2022-09-28,149.8400
2022-09-27,151.7600
2022-09-26,150.7700
2022-09-23,150.4300
2022-09-22,152.7400
2022-09-21,153.7200
2022-09-20,156.9000
2022-09-19,154.4800
2022-09-16,150.7000
2022-09-15,152.3700
2022-09-14,155.3100
2022-09-13,153.8400
2022-09-12,163.4300
2022-09-09,157.3700
2022-09-08,154.4600
2022-09-07,155.9600
2022-09-06,154.5300
2022-09-02,155.8100
2022-09-01,157.9600
2022-08-31,157.2200
2022-08-30,158.9100
2022-08-29,161.3800
2022-08-26,163.6200
2022-08-25,170.0300
2022-08-24,167.5300
2022-08-23,167.2300
2022-08-22,167.5700
2022-08-19,171.5200
2022-08-18,174.1500
2022-08-17,174.5500
2022-08-16,173.0300
2022-08-15,173.1900
2022-08-12,172.1000
2022-08-11,168.4900
2022-08-10,169.2400
2022-08-09,164.9200
2022-08-08,164.8700
2022-08-05,165.3500
2022-08-04,165.8100
2022-08-03,166.1300
2022-08-02,160.0100
2022-08-01,161.5100
2022-07-29,162.5100
2022-07-28,157.3500
2022-07-27,156.7900
2022-07-26,151.6000
2022-07-25,152.9500
2022-07-22,154.0900
2022-07-21,155.3500
2022-07-20,153.0400
2022-07-19,151.0000
2022-07-18,147.0700
2022-07-15,150.1700
2022-07-14,148.4700
2022-07-13,145.4900
2022-07-12,145.8600
2022-07-11,144.8700
2022-07-08,147.0400
2022-07-07,146.3500
2022-07-06,142.9200
2022-07-05,141.5600
2022-07-01,138.9300
2022-06-30,136.7200
2022-06-29,139.2300
2022-06-28,137.4400
2022-06-27,141.6600
2022-06-24,141.6600
2022-06-23,138.2700
2022-06-22,135.3500
2022-06-21,135.8700
2022-06-17,131.5600
2022-06-16,130.0600
2022-06-15,135.4300
2022-06-14,132.7600
2022-06-13,131.8800
2022-06-10,137.1300
2022-06-09,142.6400
2022-06-08,147.9600
2022-06-07,148.7100
2022-06-06,146.1400
2022-06-03,145.3800
2022-06-02,151.2100
2022-06-01,148.7100
2022-05-31,148.8400
